Name,Path,Position,"Is Active","Url Key",Description,Image,"Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
CATEGORIES,"Default Category/",1,Yes,categories,,,,,,Yes,"Products only",,No,,,"No layout updates",
ART,"Default Category/CATEGORIES",1,Yes,art,,,,,,Yes,"Products only",,No,,,"No layout updates",
PAINTING,"Default Category/CATEGORIES/ART",1,Yes,painting,,,,,,Yes,"Products only",,No,,,"No layout updates",
SURREAL,"Default Category/CATEGORIES/ART/PAINTING",1,Yes,surreal,,,,,,Yes,"Products only",,No,,,"No layout updates",
ABSTRACT,"Default Category/CATEGORIES/ART/PAINTING",1,Yes,abstract,,,,,,Yes,"Products only",,No,,,"No layout updates",
LANDSCAPE,"Default Category/CATEGORIES/ART/PAINTING",1,Yes,landscape,,,,,,Yes,"Products only",,No,,,"No layout updates",
PORTRAIT,"Default Category/CATEGORIES/ART/PAINTING",1,Yes,portrait,,,,,,Yes,"Products only",,No,,,"No layout updates",
"STILL LIFE","Default Category/CATEGORIES/ART/PAINTING",1,Yes,still-life,,,,,,Yes,"Products only",,No,,,"No layout updates",
FURNITURE,"Default Category/CATEGORIES",1,Yes,furniture,,,,,,Yes,"Products only",,No,,,"No layout updates",
"HOME OFFICE","Default Category/CATEGORIES/FURNITURE",1,Yes,home-office,,,,,,Yes,"Products only",,No,,,"No layout updates",
DESKS,"Default Category/CATEGORIES/FURNITURE/HOME OFFICE",1,Yes,desks,,,,,,Yes,"Products only",,No,,,"No layout updates",
,"Default Category/",1,Yes,,,,,,,Yes,"Products only",,No,,,"No layout updates",
"LIVING ROOM","Default Category/CATEGORIES/FURNITURE",1,Yes,living-room,,,,,,Yes,"Products only",,No,,,"No layout updates",
"OTTOMANS, BENCHES & STOOLS","Default Category/CATEGORIES/FURNITURE/LIVING ROOM",1,Yes,ottomans-benches-stools,,,,,,Yes,"Products only",,No,,,"No layout updates",
STOOLS,"Default Category/CATEGORIES/FURNITURE/LIVING ROOM/OTTOMANS, BENCHES & STOOLS",1,Yes,stools,,,,,,Yes,"Products only",,No,,,"No layout updates",
"LIVING ROOM CABINETS","Default Category/CATEGORIES/FURNITURE/LIVING ROOM",1,Yes,living-room-cabinets,,,,,,Yes,"Products only",,No,,,"No layout updates",
"COFFEE & ACCENT TABLES","Default Category/CATEGORIES/FURNITURE/LIVING ROOM",1,Yes,coffee-accent-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
"ACCENT TABLES","Default Category/CATEGORIES/FURNITURE/LIVING ROOM/COFFEE & ACCENT TABLES",1,Yes,accent-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
STORAGE,"Default Category/CATEGORIES/FURNITURE",1,Yes,storage,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BOOKCASES & SHELVES","Default Category/CATEGORIES/FURNITURE/STORAGE",1,Yes,bookcases-shelves,,,,,,Yes,"Products only",,No,,,"No layout updates",
"DECOR & FURNISHING","Default Category/CATEGORIES",1,Yes,decor-furnishing,,,,,,Yes,"Products only",,No,,,"No layout updates",
"HOME ACCESSORIES","Default Category/CATEGORIES/DECOR & FURNISHING",1,Yes,home-accessories,,,,,,Yes,"Products only",,No,,,"No layout updates",
"MIRRORS & MIRROR FRAMES","Default Category/CATEGORIES/DECOR & FURNISHING/HOME ACCESSORIES",1,Yes,mirrors-mirror-frames,,,,,,Yes,"Products only",,No,,,"No layout updates",
OUTDOOR,"Default Category/CATEGORIES/FURNITURE",1,Yes,outdoor,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CHAIR & TABLE SETS","Default Category/CATEGORIES/FURNITURE/OUTDOOR",1,Yes,chair-table-sets,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BIRD CAGES","Default Category/CATEGORIES/DECOR & FURNISHING/HOME ACCESSORIES",1,Yes,bird-cages,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CANDLES & VASES","Default Category/CATEGORIES/DECOR & FURNISHING",1,Yes,candles-vases,,,,,,Yes,"Products only",,No,,,"No layout updates",
"TEA LIGHT HOLDERS","Default Category/CATEGORIES/DECOR & FURNISHING/CANDLES & VASES",1,Yes,tea-light-holders,,,,,,Yes,"Products only",,No,,,"No layout updates",
"WALL HOOKS","Default Category/CATEGORIES/DECOR & FURNISHING",1,Yes,wall-hooks,,,,,,Yes,"Products only",,No,,,"No layout updates",
"GARDENS + OUTDOORS","Default Category/CATEGORIES/DECOR & FURNISHING",1,Yes,gardens-outdoors,,,,,,Yes,"Products only",,No,,,"No layout updates",
PLANTERS,"Default Category/CATEGORIES/DECOR & FURNISHING/GARDENS + OUTDOORS",1,Yes,planters,,,,,,Yes,"Products only",,No,,,"No layout updates",
"PILLAR HOLDERS","Default Category/CATEGORIES/DECOR & FURNISHING/CANDLES & VASES",1,Yes,pillar-holders,,,,,,Yes,"Products only",,No,,,"No layout updates",
"STORAGE & ORGANIZERS","Default Category/CATEGORIES/DECOR & FURNISHING",1,Yes,storage-organizers,,,,,,Yes,"Products only",,No,,,"No layout updates",
"MAGAZINE HOLDERS & BASKETS","Default Category/CATEGORIES/DECOR & FURNISHING/STORAGE & ORGANIZERS",1,Yes,magazine-holders-baskets,,,,,,Yes,"Products only",,No,,,"No layout updates",
LIGHTING,"Default Category/CATEGORIES",1,Yes,lighting,,,,,,Yes,"Products only",,No,,,"No layout updates",
LANTERN,"Default Category/CATEGORIES/LIGHTING",1,Yes,lantern,,,,,,Yes,"Products only",,No,,,"No layout updates",
DINING,"Default Category/CATEGORIES",1,Yes,dining,,,,,,Yes,"Products only",,No,,,"No layout updates",
DRINKWARE,"Default Category/CATEGORIES/DINING",1,Yes,drinkware,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BAR ACCESSORIES","Default Category/CATEGORIES/DINING/DRINKWARE",1,Yes,bar-accessories,,,,,,Yes,"Products only",,No,,,"No layout updates",
"STORAGE & JEWELLERY BOXES","Default Category/CATEGORIES/DECOR & FURNISHING/STORAGE & ORGANIZERS",1,Yes,storage-jewellery-boxes,,,,,,Yes,"Products only",,No,,,"No layout updates",
"DECORATIVE TRAYS & PLATTERS","Default Category/CATEGORIES/DECOR & FURNISHING/HOME ACCESSORIES",1,Yes,decorative-trays-platters,,,,,,Yes,"Products only",,No,,,"No layout updates",
DRAWING,"Default Category/CATEGORIES/ART",1,Yes,drawing,,,,,,Yes,"Products only",,No,,,"No layout updates",
