sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,actual_weight,blacknwhite_prbrand,blacknwhite_prbrandlink,blacknwhite_prbrandpos,blacknwhite_prbrandtarget,blacknwhite_prcolleteral,blacknwhite_prcustom,blacknwhite_prlayout,blacknwhite_prmoreviews,blacknwhite_productimg,blacknwhite_prrelated,blacknwhite_prprevnext,blacknwhite_prrelatedcontent,blacknwhite_prsidebar,blacknwhite_prsku,blacknwhite_prtabs,blacknwhite_relatedpos,bnb_commission,cod_policy,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,gallery,gift_message_available,has_options,image,image_label,manufacturer,manufacturer_info,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,processing_time,required_options,seller_name,shipping_cost,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,tax_rate,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,whats_in_box,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,supplier,supplier_banner
S284P14615,,Default,simple,CATEGORIES,Default Category,base,2.5,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,373.5,0,,2116.5,India,2014-03-28 11:50:42,,,,,This is a Lounge Chair for Kids with a perfect back support and full fledged leg rest for Kids. Its made out from leatherette which is the finest material for Bean Bags and Soft Lounges. A piping adds a charm to it and back support acts as a cushion for the kids to even sleep on it. Kids just love being on it and  carries up to 100 Kg's.,,,1,/s284p14615img0.jpg,,284,"Yes, I know I look different from anything you’ve ever seen before. But relax, I’m just a humble reinvention of the beanbag. Okay, when I say humble reinvention, I mean a huge, in your face, total revolution. I’m so comfortable it’s obscene. I’m as durable as a massively durable thing. I’m more flexible than a boneless contortionist. And I’m good for you too! We are 'Style HomeZ', Started a New Venture to Make products Out of Leatherette, Jute, Italian Leather and Denim for Home Furnishing and Soft Furnishing Upholstery Products Like Bean Bags, Bean Poufs, Bean Lounges, Ottomans, Mats and Most of the products Made of these above mentioned Materials and 'Filed with Polystyrene Beads' in it to have your Decor comfortable and stylish.",,Buy Modern Contempoary Red Video Rocker Bean Bag for Kids online shopping at shop.buynbrag.com.Select the Antique Design of Red Video Rocker Bean Bag for Kids ✓ Free Shipping & Returns,"Bean Bags, Furniture",Buy Modern Red Video Rocker Bean Bag for Kids S284P14615-shop.buynbrag.com,,,Use config,Use config,Red Video Rocker Bean Bag for Kids,,,Block after Info Column,,2490,15,0,284,0,This is a Lounge Chair for Kids with a perfect back support and full fledged leg rest for Kids,/s284p14615img0.jpg,,,,,1,0,13.13,/s284p14615img0.jpg,,,,,4,0,"<ul><li><div class='spec-modal'>SKU</div><em>:</em>&nbsp; S284P14615</li><li><div class='spec-modal'>what's in the Box</div><em>:</em>  One Kids Video Rocker Bean Bag with Filler</li><li><div class='spec-modal'>Sitting&nbspDimensions</div><em>:</em>&nbsp; Length 25.000 inch x Width 20.000 inch  x Height 10.000 inch</li><li><div class='spec-modal'>Backrest&nbspDimensions</div><em>:</em>&nbsp; Length 14.000 inch x Height 20.000 inch</li><li><div class='spec-modal'>Material Composition</div><em>:</em>&nbsp; Leatherette</li><li><div class='spec-modal'>Usage</div><em>:</em>&nbsp; Indoors</li><li><div class='spec-modal'>Assembly</div><em>:</em>&nbsp; Ready to Use</li><li><div class='spec-modal'>Care</div><em>:</em>&nbsp; Clean with damp cloth</li><li><div class='spec-modal'>Seller Insurance</div><em>:</em>&nbsp; 12 Months Warranty</li><li><div class='spec-modal'>Additional Information</div><em>:</em>&nbsp; Its Durable, easy to carry, fits anywhere, doesn't fades out,  can be refilled, adds color and style to décor and  comfortable </li></ul>",1,0,1,0,0,1,1,1,0,,1,1,1,1,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/s284p14615img0.jpg,hover,1,0,284,supplier_284
,,,,CATEGORIES/Furniture,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/s284p14615img1.jpg,hover,2,0,,
,,,,CATEGORIES/Furniture/Living Room,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/s284p14615img2.jpg,hover,3,0,,
,,,,CATEGORIES/Furniture/Living Room/Bean Bags,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/s284p14615img3.jpg,hover,4,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/s284p14615img4.jpg,hover,5,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/s284p14615img5.jpg,hover,6,0,,
S284P14616,,Default,simple,CATEGORIES,Default Category,base,2.5,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,Use Config Settings,373.5,0,,2116.5,India,2014-03-28 11:50:42,,,,,This is a Lounge Chair for Kids with a perfect back support and full fledged leg rest for Kids. Its made out from leatherette which is the finest material for Bean Bags and Soft Lounges. A piping adds a charm to it and back support acts as a cushion for the kids to even sleep on it. Kids just love being on it and  carries up to 100 Kg's.,,,1,/s284p14616img0.jpg,,284,"Yes, I know I look different from anything you’ve ever seen before. But relax, I’m just a humble reinvention of the beanbag. Okay, when I say humble reinvention, I mean a huge, in your face, total revolution. I’m so comfortable it’s obscene. I’m as durable as a massively durable thing. I’m more flexible than a boneless contortionist. And I’m good for you too! We are 'Style HomeZ', Started a New Venture to Make products Out of Leatherette, Jute, Italian Leather and Denim for Home Furnishing and Soft Furnishing Upholstery Products Like Bean Bags, Bean Poufs, Bean Lounges, Ottomans, Mats and Most of the products Made of these above mentioned Materials and 'Filed with Polystyrene Beads' in it to have your Decor comfortable and stylish.",,Buy Modern Contempoary Blue  Video Rocker Bean Bag  for Kids online shopping at shop.buynbrag.com.Select the Antique Design of Blue  Video Rocker Bean Bag  for Kids ✓ Free Shipping & Returns,"Bean Bags, Furniture",Buy Modern Blue  Video Rocker Bean Bag  for Kids S284P14616-shop.buynbrag.com,,,Use config,Use config,Blue  Video Rocker Bean Bag  for Kids,,,Block after Info Column,,2490,15,0,284,0,This is a Lounge Chair for Kids with a perfect back support and full fledged leg rest for Kids,/s284p14616img0.jpg,,,,,1,0,13.13,/s284p14616img0.jpg,,,,,4,0,"<ul><li><div class='spec-modal'>SKU</div><em>:</em>&nbsp; S284P14616</li><li><div class='spec-modal'>what's in the Box</div><em>:</em>  One Kids Video Rocker Bean Bag with Filler</li><li><div class='spec-modal'>Sitting&nbspDimensions</div><em>:</em>&nbsp; Length 25.000 inch x Width 20.000 inch  x Height 10.000 inch</li><li><div class='spec-modal'>Backrest&nbspDimensions</div><em>:</em>&nbsp; Length 14.000 inch x Height 20.000 inch</li><li><div class='spec-modal'>Material Composition</div><em>:</em>&nbsp; Leatherette</li><li><div class='spec-modal'>Usage</div><em>:</em>&nbsp; Indoors</li><li><div class='spec-modal'>Assembly</div><em>:</em>&nbsp; Ready to Use</li><li><div class='spec-modal'>Care</div><em>:</em>&nbsp; Clean with damp cloth</li><li><div class='spec-modal'>Seller Insurance</div><em>:</em>&nbsp; 12 Months Warranty</li><li><div class='spec-modal'>Additional Information</div><em>:</em>&nbsp; Its Durable, easy to carry, fits anywhere, doesn't fades out,  can be refilled, adds color and style to décor and  comfortable </li></ul>",1,0,1,0,0,1,1,1,0,,1,1,1,1,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/s284p14616img0.jpg,hover,1,0,284,supplier_284
,,,,CATEGORIES/Furniture,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/s284p14616img1.jpg,hover,2,0,,
,,,,CATEGORIES/Furniture/Living Room,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/s284p14616img2.jpg,hover,3,0,,
,,,,CATEGORIES/Furniture/Living Room/Bean Bags,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/s284p14616img3.jpg,hover,4,0,,
